title:发电量数据,unit:亿千瓦时,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,,,,154.29,642.3,,,237.22,,,,,351.46,,,,806.93,229.03,,172.5,,,,
,,,2019,464.09,822.13,811.55,732.98,155,112.34,1536.88,287.78,243.3,372.1,,,214.209,,818.338,,73.28,751.28,278.24,295.1,180.6,160,769.13,561.5,214.4
,,,2018,449,857,799,670,172.76,107.75,1266.6,261.12,180.3,411.1,,,198.2457,333,832.642,,72.02,716,254.64,152.9,192.4,140,798.13,509.6,196.4
,,,2017,394,866,727,596,176.74,117.6747,1129.21,234.44,176.9,432.3,,,172.9,343,841.5444,,67.73,,,160.12,181.8,150.22,797.81,441.9,193.8
,,,2016,436,832,683,600,161,116.8406,989.01,226.2,180.4618,445.6,,,175.5414,333,694.2888,,65.33,,,177.2,175.4,179.1,743.24,407,197.2
,,,2015,421,821,683,601,158.68,131.0454,896.4,229,174.6576,444.2,,,171.6,419,681.9392,,53.59,,,175.9,173.53,189.21,754.11,358.8,195.5
,,,2014,369,792.3,678,626,,,877.55,257,,494.98,,,169.3,444,695.9097,,56.94,,,178.47,,200.11,866.5,342.3,192
,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,207.04,791.94,,,,337.11,,,167.74,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2007,,,,,,,,,,,213.9,690.42,,,,415.53,,,279.41,,,,,,
,,,2006,,,,,,,,,,,210.96,551.63,,,,393.61,,,,,,,,,
,,,2005,,,,,,,,,,,180.74,262.7,,,,343.65,,,146.42,,,,,,
,,,2004,,,,,,,,,,,150.98,210.38,,,,331,,,,,,,,,
,,,2003,,,,,,,,,,,142.72,170.96,,,,296,,,,,,,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,107.55,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,99.36,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,95.92,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
