title:技术市场成交额数据,unit:万元,,year,北京市,上海市,重庆市,天津市,西安市,成都市,昆明市,长春市,合肥市,郑州市,南京市,苏州市,哈尔滨市,广州市,深圳市,东莞市,长沙市,福州市,武汉市,济南市,青岛市,杭州市,宁波市,大连市,沈阳市
,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,56952843,14223539,566518,9092549,,,,,,,,,,,,,,,,,,,,,
,,,2018,49578246,12251857,1883529,6855875,,,,,,,,,,,,,,,,,,,,,
,,,2017,44868872,8106177,513581,5514411,,,,,,,,,,,,,,,,,,,,,
,,,2016,39409752,7809858,1471870,5526361,,,,,,,,,,,,,,,,,,,,,
,,,2015,34538855,6637838,572366,5034369,,,,,,,,,,,,,,,,,,,,,
,,,2014,31371854,5924481,1562007,3885631,,,,,,,,,,,,,,,,,,,,,
,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2008,,,,,,,,,,,,,,,,,,,,,,402000,,,
,,,2007,,,,,,,,,,,,,,,,,,,,,,346000,,,
,,,2006,,,,,,,,,,,,,,,,,,,,,,338000,,,
,,,2005,,,,,,,,,,,,,,,,,,,,,,303000,,,
,,,2004,,,,,,,,,,,,,,,,,,,,,,481000,,,
,,,2003,,,,,,,,,,,,,,,,,,,,,,428000,,,
,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1987,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1982,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1969,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1962,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1953,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,,,,,,,,,,,,
